faithfulness,answer_relevancy,context_precision,context_recall
0.2,0.0,0.0,0.5
0.0,0.8809621795606694,0.0,0.0
0.0,0.8100446529801074,0.0,0.0
0.0,0.8510534431692167,0.0,0.0
0.2,0.8171610064755007,0.0,0.0
0.0,0.8767337174979107,0.0,0.0
0.0,0.7770594711831373,0.0,0.0
0.0,0.8517720621118158,0.0,0.5
0.0,0.880804751683844,0.0,0.0
0.25,0.0,0.9999999999,0.5
0.0,0.8669660184234612,0.0,0.0
0.25,0.7478550057753321,0.0,0.5
0.0,0.7506234031126727,0.0,0.5
0.0,0.0,0.0,0.0
0.0,0.8592855343485063,0.0,0.0
0.0,0.7793652411627203,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.9180926515688248,0.0,0.0
0.0,0.8726228359036932,0.0,0.0
0.0,0.7815899895567388,0.0,0.0
